,file,solver,penalty,num_categories,max_features,test_set,test_f1_macro,accuracy
94,merged_edited_data_sents.csv,liblinear,l2,19,2000,0.25,0.4388236959177945,0.6087363760217984
95,merged_edited_data_sents.csv,liblinear,l2,19,2000,0.1,0.4557355489278685,0.6179225202213708
96,merged_edited_data_sents.csv,liblinear,l2,19,5000,0.5,0.4220133547429513,0.6079274523160763
97,merged_edited_data_sents.csv,liblinear,l2,19,5000,0.25,0.44902810569661566,0.6238079019073569
98,merged_edited_data_sents.csv,liblinear,l2,19,5000,0.1,0.46405108130520895,0.6311196253724989
99,merged_edited_data_sents.csv,lbfgs,l2,19,1000,0.5,0.3872906436327577,0.5731437329700273
100,merged_edited_data_sents.csv,lbfgs,l2,19,1000,0.25,0.40405982867504936,0.582425068119891
101,merged_edited_data_sents.csv,lbfgs,l2,19,1000,0.1,0.4174698240830786,0.5889740315027672
102,merged_edited_data_sents.csv,lbfgs,l2,19,2000,0.5,0.42352993770840613,0.5985609673024523
103,merged_edited_data_sents.csv,lbfgs,l2,19,2000,0.25,0.4515760244664018,0.6118017711171662
104,merged_edited_data_sents.csv,lbfgs,l2,19,2000,0.1,0.4629125551594604,0.620051085568327
105,merged_edited_data_sents.csv,lbfgs,l2,19,5000,0.5,0.4364395182622586,0.6137176430517711
106,merged_edited_data_sents.csv,lbfgs,l2,19,5000,0.25,0.46571125083669324,0.6293426430517711
107,merged_edited_data_sents.csv,lbfgs,l2,19,5000,0.1,0.4822345040485949,0.6385696040868455
