,file,solver,penalty,num_categories,max_features,test_set,test_f1_macro
69,wikipedia_edited_data.csv,lbfgs,l2,19,5000,0.5,0.5155183474510863
70,wikipedia_edited_data.csv,lbfgs,l2,19,5000,0.25,0.5609463118247827
71,wikipedia_edited_data.csv,lbfgs,l2,19,5000,0.1,0.5875382837763138
72,merged_edited_data.csv,liblinear,l2,10,1000,0.5,0.8892674031671225
73,merged_edited_data.csv,liblinear,l2,10,1000,0.25,0.9003253406124321
74,merged_edited_data.csv,liblinear,l2,10,1000,0.1,0.9182279329527907
75,merged_edited_data.csv,liblinear,l2,10,2000,0.5,0.8962193921721455
76,merged_edited_data.csv,liblinear,l2,10,2000,0.25,0.9088052278877268
77,merged_edited_data.csv,liblinear,l2,10,2000,0.1,0.9151699044608659
78,merged_edited_data.csv,liblinear,l2,10,5000,0.5,0.8989769056736906
79,merged_edited_data.csv,liblinear,l2,10,5000,0.25,0.9089698642511104
80,merged_edited_data.csv,liblinear,l2,10,5000,0.1,0.9235289530789433
81,merged_edited_data.csv,lbfgs,l2,10,1000,0.5,0.8811550188214016
82,merged_edited_data.csv,lbfgs,l2,10,1000,0.25,0.8814664542826961
83,merged_edited_data.csv,lbfgs,l2,10,1000,0.1,0.8913153875079214
84,merged_edited_data.csv,lbfgs,l2,10,2000,0.5,0.8868778309626361
85,merged_edited_data.csv,lbfgs,l2,10,2000,0.25,0.8874053813719334
86,merged_edited_data.csv,lbfgs,l2,10,2000,0.1,0.9045542733196325
87,merged_edited_data.csv,lbfgs,l2,10,5000,0.5,0.8864082491970017
88,merged_edited_data.csv,lbfgs,l2,10,5000,0.25,0.9013655903926805
89,merged_edited_data.csv,lbfgs,l2,10,5000,0.1,0.9190283331588442
90,merged_edited_data.csv,liblinear,l2,19,1000,0.5,0.6396192630359715
91,merged_edited_data.csv,liblinear,l2,19,1000,0.25,0.6718793920901277
92,merged_edited_data.csv,liblinear,l2,19,1000,0.1,0.632958057494078
93,merged_edited_data.csv,liblinear,l2,19,2000,0.5,0.657025344225544
94,merged_edited_data.csv,liblinear,l2,19,2000,0.25,0.6839521930604721
95,merged_edited_data.csv,liblinear,l2,19,2000,0.1,0.6442518724990081
96,merged_edited_data.csv,liblinear,l2,19,5000,0.5,0.6533980969735466
97,merged_edited_data.csv,liblinear,l2,19,5000,0.25,0.6824689534803311
98,merged_edited_data.csv,liblinear,l2,19,5000,0.1,0.6374658570587117
99,merged_edited_data.csv,lbfgs,l2,19,1000,0.5,0.6379165659593465
100,merged_edited_data.csv,lbfgs,l2,19,1000,0.25,0.6725469797550785
101,merged_edited_data.csv,lbfgs,l2,19,1000,0.1,0.6264465704626234
102,merged_edited_data.csv,lbfgs,l2,19,2000,0.5,0.6555299046029252
103,merged_edited_data.csv,lbfgs,l2,19,2000,0.25,0.6898916096596487
104,merged_edited_data.csv,lbfgs,l2,19,2000,0.1,0.6582823019921692
105,merged_edited_data.csv,lbfgs,l2,19,5000,0.5,0.648898750120577
106,merged_edited_data.csv,lbfgs,l2,19,5000,0.25,0.6989629888495642
107,merged_edited_data.csv,lbfgs,l2,19,5000,0.1,0.6567270243676215
