,num_categories,max_features,test_set,layer1_neurons,layer2_neurons,epochs,batch_size,parameters,train_loss,train_accuracy,train_auc,train_precision,train_recall,train_f1,test_loss,test_accuracy,test_auc,test_precision,test_recall,test_f1
264,19,1000,0.5,40,19,10,1,40819,0.0022147344425320625,0.9988889098167419,0.9999998807907104,1.0,0.9983333349227905,0.9991659724390907,2.8418545722961426,0.7416666746139526,0.9145443439483643,0.7545558214187622,0.7361111044883728,0.7452193504121508
265,19,1000,0.5,40,19,10,5,40819,0.001957890810444951,0.9988889098167419,0.9999998211860657,1.0,0.9983333349227905,0.9991659724390907,3.2343993186950684,0.7344444394111633,0.9067438244819641,0.7446327805519104,0.7322221994400024,0.738375344549849
266,19,1000,0.5,40,19,10,10,40819,0.0018992637051269412,0.9988889098167419,0.9999998807907104,1.0,0.9983333349227905,0.9991659724390907,3.5180587768554688,0.7355555295944214,0.9040752649307251,0.7449095249176025,0.7316666841506958,0.7382287195764001
267,19,1000,0.5,40,19,20,1,40819,0.001839149626903236,0.9988889098167419,0.9999998211860657,1.0,0.9983333349227905,0.9991659724390907,5.337391376495361,0.7316666841506958,0.8915911912918091,0.7339295744895935,0.7294444441795349,0.7316801360425549
268,19,1000,0.5,40,19,20,5,40819,0.0018354386556893587,0.9988889098167419,0.9999998211860657,1.0,0.9983333349227905,0.9991659724390907,5.8800153732299805,0.7333333492279053,0.8874101042747498,0.7379619479179382,0.7322221994400024,0.7350808693979797
269,19,1000,0.5,40,19,20,10,40819,0.0018336840439587831,0.9988889098167419,0.9999998211860657,1.0,0.9983333349227905,0.9991659724390907,6.115246295928955,0.7294444441795349,0.8854997754096985,0.7328116297721863,0.7283333539962769,0.7305656291313398
270,19,1000,0.25,10,19,5,1,10219,0.22708146274089813,0.9451851844787598,0.9989669919013977,0.9777687788009644,0.8959259390830994,0.9350599145016034,1.025461196899414,0.7588889002799988,0.9637913107872009,0.8148148059844971,0.7088888883590698,0.7581699305148764
271,19,1000,0.25,10,19,5,5,10219,0.13315866887569427,0.9755555391311646,0.9997226595878601,0.9918856024742126,0.9507407546043396,0.9708774543713047,1.154191255569458,0.7699999809265137,0.9569774866104126,0.8176254630088806,0.742222249507904,0.7781013563564307
272,19,1000,0.25,10,19,5,10,10219,0.09412205219268799,0.9862962961196899,0.9998828768730164,0.9973292350769043,0.9681481719017029,0.9825220806868711,1.2623425722122192,0.7699999809265137,0.9512709379196167,0.8116646409034729,0.742222249507904,0.7753917731526928
273,19,1000,0.25,10,19,10,1,10219,0.01488023716956377,0.9977777600288391,0.9997985363006592,0.9992573261260986,0.996666669845581,0.997960316684353,2.718860149383545,0.7344444394111633,0.9162788987159729,0.7525773048400879,0.7300000190734863,0.7411167539475505
274,19,1000,0.25,10,19,10,5,10219,0.005841048434376717,0.9988889098167419,0.9999994039535522,0.9996290802955627,0.9981481432914734,0.9988880628898705,3.334728717803955,0.7266666889190674,0.9054723381996155,0.7370203137397766,0.7255555391311646,0.7312429916525777
275,19,1000,0.25,10,19,10,10,10219,0.003917311318218708,0.9988889098167419,0.9999998211860657,0.9996290802955627,0.9981481432914734,0.9988880628898705,3.8508715629577637,0.7255555391311646,0.900625467300415,0.733707845211029,0.7255555391311646,0.7296089203757058
276,19,1000,0.25,10,19,20,1,10219,0.002539603738114238,0.9988889098167419,0.9999998807907104,0.9996290802955627,0.9981481432914734,0.9988880628898705,6.118656635284424,0.7133333086967468,0.8855896592140198,0.7173184156417847,0.7133333086967468,0.7153203118745668
277,19,1000,0.25,10,19,20,5,10219,0.002009668154641986,0.9988889098167419,0.9999998211860657,0.9988889098167419,0.9988889098167419,0.9988889098167419,7.410277366638184,0.7144444584846497,0.8772950768470764,0.7160356640815735,0.7144444584846497,0.7152391762882027
